STYLE NUMBER,SEASON,season_id,FINAL SUPPLIER PRODUCTION,ON FLOOR MONTH,month_id,season_factor,season_name,season_year,SHIP METHOD US RETAIL,SHIP METHOD US WHOLESALE,SQUAD,FABRIC TYPE,CATEGORY,FINAL FABRIC,MAIN FABRIC COMPOSITION,COO,FOB US,FOB EU,US LANDED,EU LANDED,US RETAIL FOR MKUP,EU RETAIL FOR MKUP,EU RETAIL...19,US RETAIL,US WHOLESALE,US ATS,EU RETAIL...23,EU CONCESSIONS,EU WHOLESALE,EU ATS,UK RETAIL,UK CONCESSIONS,UK WHOLESALE,UK ATS,TOTAL,TOTAL LANDED US,TOTAL LANDED EU,TOTAL LANDED UK,TOTAL RETAIL US,TOTAL RETAIL EU,TOTAL RETAIL UK,TOTAL CUSTO $,TOTAL VERBA $
324481,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,BOTTOMS,LIGHT COTTON,100% COTTON,INDIA,54.95,51.653,66.3024,63.227398,295,279.1666666666667,NA,288,19,0,32,0,24,0,35,0,0,0,398,20354.836800000005,3540.734288,2212.9589300000002,90565,18760,11725,26854.29717741,119261.9375
318982,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,TOPS,LINEN VISCOSE,55% LINEN 45% VISCOSE,INDIA,36,34.199999999999996,43.932,42.877199999999995,285,266.6666666666667,NA,240,210,0,26,0,58,0,30,18,0,0,582,19769.4,3601.6848,2058.1056,128250,26880,15360,26144.382096,167898
328053,SS24,1,AS DA PRAIA,APRIL,4,SS24,SS,24,AIR,AIR,NEWNESS,FARMLAB,NA,LAISE,NA,BRAZIL,13.94,13.103599999999998,18.41106,15.151887999999998,100,95.83333333333334,NA,145,0,0,16,0,0,0,18,0,0,0,179,2669.6036999999997,242.43020799999996,272.73398399999996,14500,1840,2070,3263.1031529599995,18253.791666666668
323052,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,VISCOSE MARROCAINE,100% VISCOSE,INDIA,28.5,26.79,39.055,35.23714,295,279.1666666666667,NA,480,55,0,53,31,74,22,59,0,79,23,876,20894.425000000003,6342.6852,5673.179539999999,157825,60300,53935,34630.743100499996,266651.1458333334
318035,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,DRESSES,LIGHT COTTON,100% COTTON,INDIA,43,40.419999999999995,53.622,51.12971999999999,320,300,NA,240,0,0,26,0,0,0,30,0,0,0,296,12869.28,1329.3727199999998,1533.8915999999997,76800,9360,10800,16170.7260204,96171
331400,SS24,1,KONCEPTION,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,VISCOSE MARROCAINE,100% VISCOSE,INDIA,25,23.5,34.75,31.401,295,279.1666666666667,NA,0,300,0,0,0,0,0,0,0,0,0,300,10425,0,0,88500,0,0,10425,88500
318011,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,ARTESANAL,TOPS,COTTON DOTS,100% COTTON,INDIA,16.8,15.959999999999999,23.77488,21.810456,240,225,NA,240,62,0,26,8,0,0,40,0,0,0,376,7180.01376,741.5555039999999,872.41824,72480,9180,10800,9042.190493279999,91690.5
318012,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,BOTTOMS,COTTON DOTS,100% COTTON,INDIA,14.6,13.87,20.00316,19.347182,150,141.66666666666669,NA,288,388,0,32,0,2,10,35,0,0,0,755,13522.136160000002,851.276008,677.15137,101400,7480,5950,15262.51191681,114143.625
318029,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,BOTTOMS,COTTON DOTS,100% COTTON,INDIA,21.5,20.425,28.0389,27.072905,210,195.83333333333334,NA,574,1233,80,63,37,30,19,71,0,11,10,2128,52909.4043,4033.8628449999997,2490.7072599999997,396270,35015,21620,60276.75393765,449562.125
317978,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,TOPS,VELLA COTTON,100% COTTON,INDIA,16.2,15.227999999999998,23.03292,20.947720799999995,160,150,NA,384,11,0,42,0,15,0,47,0,0,0,499,9098.0034,1194.0200855999997,984.5428775999998,63200,10260,8460,11581.669916652,80984.75
