STYLE NUMBER,SEASON,season_id,FINAL SUPPLIER PRODUCTION,ON FLOOR MONTH,month_id,season_factor,season_name,season_year,SHIP METHOD US RETAIL,SHIP METHOD US WHOLESALE,SQUAD,FABRIC TYPE,CATEGORY,FINAL FABRIC,MAIN FABRIC COMPOSITION,COO,FOB US,FOB EU,US LANDED,EU LANDED,US RETAIL FOR MKUP,EU RETAIL FOR MKUP,EU RETAIL...19,US RETAIL,US WHOLESALE,US ATS,EU RETAIL...23,EU CONCESSIONS,EU WHOLESALE,EU ATS,UK RETAIL,UK CONCESSIONS,UK WHOLESALE,UK ATS,TOTAL,TOTAL LANDED US,TOTAL LANDED EU,TOTAL LANDED UK,TOTAL RETAIL US,TOTAL RETAIL EU,TOTAL RETAIL UK,TOTAL CUSTO $,TOTAL VERBA $
331461,SS24,1,GAIA,MARCH,3,SS24,SS,24,AIR,SEA,ESSENTIAL,SARJA,BOTTOMS,CANVAS,100% COTTON,TURKEY,28.5,26.79,33.837,27.79,195,183.33333333333334,NA,0,400,0,0,0,0,0,0,0,0,0,400,13534.800000000001,0,0,78000,0,0,13534.800000000001,78000
333156,SS24,1,GAIA,MARCH,3,SS24,SS,24,AIR,SEA,ESSENTIAL,MALHA ESTAMPA,TOPS,RIBBED JERSEY,95% COTTON 5% ELASTANE,TURKEY,14.8,14.06,18.398400000000002,15.06,130,120.83333333333334,NA,0,650,0,0,0,0,0,0,0,0,0,650,11308.960000000001,0,0,84500,0,0,11958.960000000001,84500
327809,SS24,1,JIANGLONG,MARCH,3,SS24,SS,24,AIR,DHL,CORE,TRICOT,SWEATER,KNIT,33%WOOL 33%MOHAIR 28%NYLON 6%SPANDEX,CHINA,35.5,33.37,53.8425,47.374399999999994,235,220.83333333333334,NA,127,27,0,14,0,2,0,16,18,0,0,204,8291.745,757.9903999999999,1610.7295999999997,36190,4240,9010,11075.938488,49168.375
327810,SS24,1,JIANGLONG,APRIL,4,SS24,SS,24,AIR,DHL,CORE,TRICOT,SWEATER,KNIT,33%WOOL 33%MOHAIR 28%NYLON 6%SPANDEX,CHINA,35.5,33.37,53.8425,47.374399999999994,235,220.83333333333334,NA,133,15,0,15,0,4,0,16,0,0,0,183,7968.69,900.1135999999999,757.9903999999999,34780,5035,4240,9860.349792,43597.875
318176,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE SARJA,SARJA,OUTERWEAR,COTTON,100% COTTON,CHINA,48.2,45.308,61.345800000000004,55.74496,350,329.1666666666667,NA,288,79,0,20,49,0,0,25,18,0,0,479,22513.908600000002,3846.4022400000003,2397.03328,128450,27255,16985,29565.924764800002,170091.22916666666
318994,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE SARJA,SARJA,BOTTOMS,GABARDINE,100% COTTON,CHINA,23.6,22.184,29.805200000000003,27.34608,195,183.33333333333334,NA,480,198,100,40,46,108,20,45,0,17,10,1064,23188.4456,5852.061119999999,1968.91776,151710,47080,15840,31862.075254400006,209859.6666666667
322672,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,OUTERWEAR,COTTON TENCEL,52% COTTON 48% TENCEL,CHINA,45,42.3,56.605000000000004,51.376,260,245.83333333333334,NA,145,0,0,16,9,5,0,18,0,0,0,193,8207.725,1541.2799999999997,924.7679999999999,37700,8850,5310,10989.7354,51011.875
322680,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,OUTERWEAR,COTTON TENCEL,52% COTTON 48% TENCEL,CHINA,45,42.3,56.605000000000004,51.376,260,245.83333333333334,NA,145,0,0,16,8,7,0,18,0,0,0,194,8207.725,1592.656,924.7679999999999,37700,9145,5310,11044.70772,51274.916666666664
318156,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE SARJA,SARJA,BOTTOMS,GABARDINE,100% COTTON,CHINA,24.6,23.124,33.5286,28.89888,220,208.33333333333334,NA,288,140,0,20,22,21,0,25,10,0,0,526,14350.2408,1820.62944,1011.4608,94160,15750,8750,17537.3537808,117136.04166666667
327206,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE SARJA,SARJA,OUTERWEAR,TENCEL COTTON,100% COTTON,CHINA,40.5,38.07,51.344500000000004,46.6384,295,279.1666666666667,NA,233,3,0,26,28,6,0,29,10,0,0,335,12117.302,2798.304,1818.8976,69620,20100,13065,17339.636840000003,100879.6875
318172,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE SARJA,SARJA,BOTTOMS,GABARDINE,100% COTTON,CHINA,22.3,20.962,30.174300000000002,25.97744,195,183.33333333333334,NA,384,84,0,42,83,97,20,47,18,0,10,785,14121.572400000001,6286.5404800000015,1948.308,91260,53240,16500,23234.8480136,155576.08333333334
318160,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE SARJA,SARJA,BOTTOMS,GABARDINE,100% COTTON,CHINA,21,19.74,28.561,24.6088,175,166.66666666666669,NA,480,485,180,45,96,122,35,50,29,57,17,1596,32702.345,7333.4223999999995,3765.1463999999996,200375,59600,30600,45161.411308,284755.8333333334
331397,SS24,1,JACKY,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,SARJA,BOTTOMS,GABARDINE,100% COTTON,CHINA,24.6,23.124,30.9622,28.39888,195,183.33333333333334,NA,0,590,0,0,0,0,0,0,0,0,0,590,18267.698,0,0,115050,0,0,18267.698,115050
318377,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,BOTTOMS,POLYESTER GUIPUIRE,100% POLYESTER,CHINA,29,27.549999999999997,38.815,33.855999999999995,275,258.33333333333337,NA,144,7,0,16,41,34,0,18,0,0,0,260,5861.065,3080.8959999999997,609.4079999999999,41525,28210,5580,9904.148519999999,72375.16666666667
318671,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,DRESSES,MANDY COTTON,60% COTTON 40% VISCOSE,CHINA,46,43.699999999999996,57.314,52.943999999999996,345,325,NA,144,1,0,16,8,18,0,18,0,0,0,205,8310.53,2223.6479999999997,952.992,50025,16380,7020,11857.24856,71796.75
318066,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,PAPER COTTON,100% COTTON,CHINA,38,35.72,48.042,44.0064,315,295.83333333333337,NA,384,465,0,42,20,61,20,47,0,0,10,1049,40787.658,6292.9151999999995,2508.3648,267435,50765,20235,50593.824144000006,333357.0208333334
318326,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE,TRICOT,SWEATER,KNIT,65%VISCOSE 35%POLYAMIDE,CHINA,17,15.979999999999999,28.715,22.897599999999997,195,183.33333333333334,NA,384,0,0,42,0,0,0,47,0,0,0,473,11026.56,961.6991999999999,1076.1871999999998,74880,9240,10340,13373.907464,93674.41666666667
318376,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,TOPS,POLYESTER GUIPUIRE,100% POLYESTER,CHINA,26,24.7,37.944,30.663999999999998,260,245.83333333333334,NA,240,8,0,26,45,43,0,30,0,0,0,392,9410.112000000001,3495.696,919.92,64480,33630,8850,14277.408720000001,103501.125
327805,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE,TRICOT,SWEATER,KNIT,68%VISCOSE 32%POLYESTER,CHINA,17.91,17.014499999999998,29.984450000000002,24.05624,220,208.33333333333334,NA,144,15,0,16,23,0,0,18,0,0,0,216,4767.52755,938.19336,433.01232,34980,9750,4500,6301.8345372,48267.5
328180,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE,TRICOT,SWEATER,KNIT,100% COTTON,CHINA,20.92,19.874000000000002,30.9408,27.25888,240,225,NA,145,0,0,16,0,0,0,18,0,0,0,179,4486.416,436.14208,490.65984000000003,34800,4320,4860,5554.1463296,43613.25
328179,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE,TRICOT,SWEATER,KNIT,100% COTTON,CHINA,20.5,19.474999999999998,30.42,26.811999999999998,220,208.33333333333334,NA,145,0,0,16,0,0,0,18,0,0,0,179,4410.9000000000005,428.99199999999996,482.616,31900,4000,4500,5461.12604,40060.416666666664
328178,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE,TRICOT,SWEATER,KNIT,100% COTTON,CHINA,20.45,19.4275,30.358,26.758799999999997,220,208.33333333333334,NA,145,0,0,16,0,0,0,18,0,0,0,179,4401.91,428.14079999999996,481.6584,31900,4000,4500,5450.052196,40060.416666666664
317810,SS24,1,CASCADE,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,22.5,21.15,29.7485,28.42739,200,187.5,NA,1600,5451,300,176,47,229,45,197,29,34,10,8118,218681.2235,14128.41283,7675.3953,1470200,111825,60750,243200.9844706,1631926.25
317917,SS24,1,CASCADE,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,30.6,28.764,39.69796,37.9012504,285,266.6666666666667,NA,1629,6214,300,179,86,232,42,200,29,133,23,9067,323260.48828000005,20428.7739656,14591.981404000002,2320755,172480,123200,362994.453643092,2600316.333333333
318992,SS24,1,CASCADE,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,29,27.259999999999998,37.8314,36.128636,255,241.66666666666669,NA,240,36,0,26,8,34,0,30,0,45,0,419,10441.466400000001,2456.747248,2709.6477,70380,19720,21750,16389.50438786,110166.79166666667
318680,SS24,1,CASCADE,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,TOPS,VELLA COTTON,100% COTTON,INDIA,19.5,18.525,27.1137,25.278164999999998,210,195.83333333333334,NA,336,869,60,37,0,31,20,41,10,5,10,1419,34298.8305,2224.4785199999997,1668.35889,265650,20680,15510,38722.76215665,299922.7916666667
318321,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE,TRICOT,SWEATER,KNIT,65%VISCOSE 35%POLYAMIDE,CHINA,16.5,15.51,27.017500000000002,21.371199999999998,175,166.66666666666669,NA,288,69,80,32,37,15,0,35,18,0,0,574,11806.647500000001,1795.1808,1132.6735999999999,76475,16800,10600,15115.016116000003,102275.83333333334
318311,SS24,1,KONCEPTION,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,TOPS,VISCOSE MARROCAINE,100% VISCOSE,INDIA,16.5,15.674999999999999,25.093500000000002,21.27705,185,175,NA,288,0,0,32,0,0,0,35,0,0,0,355,7226.928000000001,680.8656,744.69675,53280,6720,7350,8867.70771075,66775.125
318556,SS24,1,KONCEPTION,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,BOTTOMS,VISCOSE MARROCAINE,100% VISCOSE,INDIA,17.65,16.7675,26.9334,22.953325,195,183.33333333333334,NA,480,54,60,53,17,80,35,59,0,18,10,866,15998.439599999998,4246.365125,1996.939275,115830,40700,19140,22988.300895624998,171659.58333333334
317658,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,39,36.66,48.616,45.0592,295,279.1666666666667,NA,191,70,0,21,9,33,0,23,0,4,0,351,12484.026,2838.7295999999997,1216.5983999999999,76995,21105,9045,17216.549712,105047.0625
318042,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,MALHA ESTAMPA,TOPS,TULLE,93% POLYESTER 7% SPANDEX,CHINA,8.5,7.989999999999999,11.997499999999999,10.448799999999999,95,87.5,NA,288,0,0,32,0,0,0,35,0,0,0,355,3455.2799999999997,334.36159999999995,365.70799999999997,27360,3360,3675,4261.039212,34107.5625
322682,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,BOTTOMS,NEW TAFETA,100% POLYESTER,CHINA,25,23.5,33.875,29.32,285,266.6666666666667,NA,145,0,0,16,0,0,0,18,0,0,0,179,4911.875,469.12,527.76,41325,5120,5760,6060.339400000001,51770.333333333336
318733,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,DRESSES,COTTON FOREST,97% COTTON 3% SPANDEX,CHINA,29.6,27.823999999999998,37.806400000000004,34.66288,260,245.83333333333334,NA,191,461,0,21,17,6,0,30,10,0,0,736,23626.352800000004,1525.16672,1386.5152,169520,12980,11800,27980.182310400003,193139.6666666667
317770,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,TOPS,LINEN,100% LINEN,CHINA,14,13.16,17.988,16.7392,140,133.33333333333334,NA,336,81,0,37,9,127,20,41,10,66,10,737,7415.946,3230.6656000000003,2125.8784,58380,30880,20320,13562.009232,106658
327186,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,MALHA LISA,TOPS,TULLE + MOON JERSEY (TOP),93% POLYESTER 7% SPANDEX + 89% RAYON 11% ELASTANE,CHINA,9.5,8.93,13.7325,12.0016,85,79.16666666666667,NA,191,0,0,21,0,0,0,23,0,0,0,235,2622.9075,252.0336,276.03679999999997,16235,1995,2185,3230.728532,20244.395833333332
318977,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,DRESSES,LINEN,100% COTTON,CHINA,29.8,28.012,37.5912,34.87344,250,237.5,NA,432,899,60,48,68,77,35,65,18,0,10,1712,50145.9942,7951.144319999999,3243.22992,347750,64980,26505,64770.0402744,432747.6875
317649,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LINEN,100% LINEN,CHINA,32.1,30.174,40.2224,37.29488,265,250,NA,671,234,80,74,57,113,35,83,18,20,10,1395,38863.109,10405.27152,4885.629279999999,261025,83700,39300,56737.6003944,375776.25
317652,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,38.5,36.19,48.044000000000004,44.532799999999995,315,295.83333333333337,NA,240,0,0,26,0,0,0,30,0,0,0,296,11530.560000000001,1157.8528,1335.984,75600,9230,10650,14406.042896000003,94701.95833333333
317782,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,JUMPSUITS,LINEN,100% COTTON,CHINA,29.6,27.823999999999998,36.1488,34.66288,200,187.5,NA,671,156,40,74,27,16,0,83,18,0,0,1085,30905.889600000002,4055.55696,3500.9508800000003,173400,26325,22725,39969.1203752,220071.5625
318540,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,DRESSES,VELLA COTTON,100% COTTON,CHINA,38.8,36.471999999999994,48.969199999999994,44.848639999999996,345,325,NA,336,166,0,37,39,243,45,41,39,25,10,981,24099.478399999996,16324.904959999998,5157.593599999999,173190,141960,44850,48368.2388672,345555.375
317760,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,BOTTOMS,NEW TAFETA,100% POLYESTER,CHINA,20.6,19.364,28.441000000000003,24.68768,265,250,NA,125,35,0,14,0,24,20,15,10,0,10,253,4496.485000000001,1431.88544,864.0688,42400,17400,10500,7141.161700800001,68633.75
327187,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,MALHA LISA,TOPS,TULLE + MOON JERSEY (TOP),93% POLYESTER 7% SPANDEX + 89% RAYON 11% ELASTANE,CHINA,9.5,8.93,13.7325,12.0016,85,79.16666666666667,NA,384,0,0,42,0,0,0,47,0,0,0,473,5273.28,504.0672,564.0752,32640,3990,4465,6503.624024,40755.770833333336
318089,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,DRESSES,VISCOSE SATIN,100% VISCOSE,CHINA,38,35.72,50.93,39.72,320,300,NA,288,1,0,40,0,0,0,50,0,0,0,379,14715.92,1588.8,1986,92480,14400,18000,18851.636,123695
318093,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,39.2,36.848,48.8448,45.26976,335,316.6666666666667,NA,480,222,0,65,9,74,20,75,0,21,10,976,33636.369600000005,7605.3196800000005,4798.59456,235170,63840,40280,48305.0199936,333213.1666666667
318328,SS24,1,ECICO,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE,TRICOT,SWEATER,KNIT,100% COTTON,CHINA,29.5,27.729999999999997,41.58,36.057599999999994,235,220.83333333333334,NA,205,207,0,35,48,150,0,35,0,0,0,680,17130.96,8401.4208,1262.0159999999998,96820,61745,9275,27666.449855999996,161344.1875
318358,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,BOTTOMS,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,21.5,20.209999999999997,26.7145,25.635199999999998,200,187.5,NA,240,69,0,30,31,13,0,40,18,7,0,448,8143.518,1897.0047999999997,1666.2879999999998,61800,16650,14625,12325.778436,91575.9375
322684,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,39,36.66,48.616,45.0592,295,279.1666666666667,NA,288,0,0,32,0,0,0,35,0,0,0,355,14001.408,1441.8944,1577.072,84960,10720,11725,17476.148208,106487.9375
317666,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,28.8,27.072,36.4472,33.82064,230,216.66666666666669,NA,480,0,0,53,0,0,0,59,0,0,0,592,17494.656000000003,1792.49392,1995.4177599999998,110400,13780,15340,21857.011250400003,138346.75
318094,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,21.5,20.209999999999997,28.096,26.135199999999998,275,258.33333333333337,NA,480,345,80,65,57,109,10,75,0,22,10,1253,24741.567499999997,6298.583199999999,2796.4664,248875,74710,33170,35592.035364,349352.4583333334
317787,SS24,1,KONCEPTION,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,VISCOSE MARROCAINE,100% VISCOSE,INDIA,32.95,31.302500000000002,44.5285,40.498715000000004,315,295.83333333333337,NA,384,0,0,42,0,0,0,47,0,0,0,473,17098.944,1700.94603,1903.4396050000003,120960,14910,16685,21250.669768225,151287.35416666666
318312,SS24,1,KONCEPTION,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,BOTTOMS,VISCOSE MARROCAINE,100% VISCOSE,INDIA,16.5,15.674999999999999,25.374000000000002,21.653249999999996,175,166.66666666666669,NA,288,0,0,32,0,0,0,35,0,0,0,355,7307.712,692.9039999999999,757.8637499999999,50400,6400,7000,8977.502373750001,63252.50000000001
318087,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,34,31.959999999999997,42.896,39.795199999999994,265,250,NA,288,415,60,32,17,32,0,35,10,0,0,889,31518.398,3223.4111999999996,1790.7839999999999,202195,24300,13500,38372.408383999995,237643.75
318026,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,BOTTOMS,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,21.5,20.209999999999997,27.5315,25.635199999999998,185,175,NA,384,523,100,42,0,123,20,47,0,23,10,1272,26719.633,4742.512,2050.816,186295,38850,16800,35310.95794,238086.25
318675,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,BOTTOMS,LINEN,100% LINEN,CHINA,16.5,15.51,20.1995,19.371199999999998,150,141.66666666666669,NA,574,764,120,63,70,165,35,71,0,32,10,1904,28356.921000000002,6450.6096,2188.9456,218700,56610,19210,39034.481631999995,288787.4583333333
317883,SS24,1,SAINTS & SEERS,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,43.25,41.0875,50.883,49.0319,345,325,NA,574,96,0,63,17,113,19,71,18,67,11,1049,34091.61,10394.7628,8188.3273,231150,82680,65130,55244.7071385,371359.875
321023,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,41.92,39.4048,51.95648,48.133376,315,295.83333333333337,NA,1150,2336,120,127,48,371,45,141,39,107,13,4497,179633.40288,28446.825215999997,14440.0128,1135890,209805,106500,235482.18554112,1431684.875
318025,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,TOPS,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,12,11.28,16.204,15.1336,120,112.5,NA,480,845,80,53,0,119,20,59,0,25,10,1691,21934.120000000003,2905.6512000000002,1422.5584,168600,25920,12690,27618.300824,204666.375
317956,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,JUMPSUITS,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,38.2,35.908,46.134600000000006,44.21696,265,250,NA,240,3,0,26,9,37,20,30,18,12,10,405,11202.112800000003,4067.96032,3095.1872000000003,64395,27600,21000,19355.0296624,110442.5
317977,SS24,1,SAINTS & SEERS,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,TOPS,3D COTTON FLOWER,3D COTTON FLOWER,INDIA,22,20.9,28.387999999999998,25.906399999999998,185,175,NA,623,820,250,69,106,147,35,77,29,63,16,2235,48060.884,9248.5848,4792.683999999999,313205,74970,38850,63827.907635999996,419712.625
318662,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,BOTTOMS,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,30,28.2,37.230000000000004,34.584,230,216.66666666666669,NA,145,0,0,16,0,0,0,18,0,0,0,179,5398.35,553.344,622.5120000000001,33350,4160,4680,6753.00528,41836.833333333336
317820,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,26.8,25.192,34.1592,31.715040000000002,210,195.83333333333334,NA,1500,2726,300,165,0,113,31,185,29,89,24,5162,148522.2792,9799.94736,10370.818080000001,950460,72615,76845,177794.7350232,1093654.3125
317938,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,BOTTOMS,LINEN,100% LINEN,CHINA,31,29.139999999999997,37.193,35.636799999999994,225,212.5,NA,384,140,0,42,20,137,33,47,18,61,12,894,19163.631999999998,8267.737599999999,4917.8784,117900,59160,35190,34360.01227199999,206574.125
317921,SS24,1,SAINTS & SEERS,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,SHEER VISCOSE,100% VISCOSE,INDIA,37.5,35.625,47.5,43.045,315,295.83333333333337,NA,384,63,0,42,0,28,12,47,29,45,18,668,21232.5,3529.69,5983.255,140805,29110,49345,32338.755675,217134.43750000003
317800,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,19.3,18.142,25.579200000000004,23.81904,185,175,NA,958,0,0,105,0,0,0,118,0,0,0,1181,24504.873600000003,2500.9992,2810.64672,177230,22050,24780,30623.984976000003,222187.5
318370,SS24,1,KONCEPTION,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,TOPS,VISCOSE MARROCAINE,100% VISCOSE,INDIA,21.5,20.425,31.7885,26.815549999999998,185,175,NA,96,114,0,11,0,22,0,12,0,0,0,255,6675.585,884.91315,321.78659999999996,38850,6930,2520,8016.6306555,47601.75
317955,SS24,1,KONCEPTION,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,JUMPSUITS,LIGHT COTTON,100% COTTON,INDIA,27,25.65,35.077,33.9079,250,237.5,NA,862,322,0,95,48,85,0,106,29,20,0,1567,41531.168,7731.001199999999,5255.7245,296000,64980,44175,56241.6017965,399035.8125
317825,SS24,1,KONCEPTION,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,LIGHT COTTON,100% COTTON,INDIA,32,30.4,40.928000000000004,39.4464,275,258.33333333333337,NA,1725,3991,180,190,47,267,45,212,29,56,11,6753,241311.488,21656.0736,12149.4912,1621400,170190,95480,279366.613472,1870621.9166666667
327747,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO LISO,TOPS,VELLA COTTON,100% COTTON,CHINA,21,19.74,28.809,25.1088,195,183.33333333333334,NA,288,385,0,32,64,95,20,45,18,11,10,968,18782.082000000002,5297.9568,2109.1391999999996,131235,46420,18480,27640.966296000002,191491.1666666667
317941,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,JUMPSUITS,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,24.5,23.029999999999998,30.5235,29.293599999999998,190,179.16666666666669,NA,2588,1708,150,285,28,36,16,318,29,43,14,5215,132293.40600000002,10692.163999999999,11834.614399999999,844740,78475,86860,161645.49912,1003383.125
317958,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,JUMPSUITS,LINEN,100% LINEN,CHINA,31,29.139999999999997,38.193,36.636799999999994,240,225,NA,384,0,0,42,0,0,0,47,0,0,0,473,14666.112,1538.7455999999997,1721.9295999999997,92160,11340,12690,18421.933552,115225.875
317798,SS24,1,H&F,FEBRUARY,2,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,LINEN,100% LINEN,CHINA,19.5,18.33,25.808,24.0296,185,175,NA,1000,1558,120,110,20,10,20,123,18,0,10,2989,66659.74900000001,3844.736,3628.4695999999994,495430,33600,31710,77672.56678,557760.625
